id,popularity,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
235412,0.6,The Lord's Challenge,1,1,en,0,0.0,Joshua Daniel of Laymen's Evangelical Fellowship educates people with facts from the Bible.,False,,2016-05-29,2016-05-29,,True,The Lord's Challenge,,Scripted,Returning Series,,,,,,US,,,,0
235413,0.6,The Loot,1,1,en,0,0.0,"Struggling to make the ends meet, Muthu decides to steal money for his sister's education. What starts on serious note, turns out to be a comedy of errors.",False,,2021-11-12,2021-11-12,,True,The Loot,,Scripted,Returning Series,,,,,,US,,,,0
235414,0.6,The SnG Shenanigans,1,1,en,0,0.0,"Presenting rib-tickling improvs and sketches by the popular comic group, Schitzengiggles Comedy (SnG). Do not miss!",False,,2016-04-12,2016-04-12,,True,The SnG Shenanigans,,Scripted,Returning Series,,,,,,US,,,,0
235415,0.734,Thums Up Toofani Biryani Hunt,1,1,en,0,0.0,"Celebrity chef Ranveer Brar tastes and recreates the legendary Biryanis of Andhra Pradesh and Telangana, albeit with a Toofani twist by Anchor Ravi.",False,,2023-05-03,2023-05-03,,True,Thums Up Toofani Biryani Hunt,,Scripted,Returning Series,,Game-Show,,,Disney+ Hotstar,US,,Rainshine Entertainment,IN,0
235416,1.783,Tunte,1,1,en,0,0.0,"Despite her flair for fashion, an ill-fated Tunte gets forced to work as a maid. But re-igniting hopes, a young man Rangan helps her forge a way to success.",False,,,2023-09-20,,True,Tunte,,Scripted,Returning Series,,,,,,US,,,,0
235417,0.6,Tutorial Sothanaigal,1,1,en,0,0.0,"When maths becomes an insurmountable challenge, Veera's father forces him to join tutorial classes. There he faces another challenge - the tutor.",False,,2022-02-04,2022-02-04,,True,Tutorial Sothanaigal,,Scripted,Returning Series,,,,,,US,,,,0
235418,2.033,Udho Udho Shri Renuka Yellamma,1,1,en,0,0.0,"Renuka and Yellamma, reincarnations of goddess Parvathi, have come to earth for the betterment of humankind. Witness their divinity and mesmerising powers.",False,,2023-09-20,2023-09-20,,True,Udho Udho Shri Renuka Yellamma,,Scripted,Returning Series,,,,,,US,,,,0
235419,26.243,Something In The Wind,1,15,th,0,0.0,"Daracha is a 35-year-old woman who is well-educated and has a simple life with a set routine. After the failure of her first love, she has never opened up her heart to anyone. That is, until one day, Wayu arrives into her world. The younger man is in his late twenties but loves to live his life freely, without the restrictions of a nine-to-five job and other societal expectations. Despite being so different from each other, the two fall in love and are happy. However, everyone around Daracha considers this relationship to be unacceptable as Wayu does not have a stable job like her and spends his life only today without planning for the future or taking quick actions when problems arise.",False,/y6EHentMKpEqYQyV655PNpHw08p.jpg,2023-09-06,2023-09-28,,True,ลมพัดผ่านดาว,/tWYAl99nJNGxFsoNg9zsWcz0klz.jpg,Scripted,Returning Series,,Drama,,th,Channel 7,TH,ภาษาไทย,,Thailand,0
235420,0.6,Ultimate Panga,1,1,en,0,0.0,"Host Rannvijay puts Kabaddi's superheroes through a series of tasks to test their skill and strength, and then takes on challenges set by them for him",False,,2015-07-14,2015-07-14,,True,Ultimate Panga,,Scripted,Returning Series,,,,,,US,,,,0
235421,0.6,V4 Viraat,1,1,en,0,0.0,"Follow the action-packed adventures of 11-year-old Viraat and his ‘grandmothers’, the four eccentric, hyper-active sisters who have taken him under their wing.",False,,2016-06-21,2016-06-21,,True,V4 Viraat,,Scripted,Returning Series,,,,,,US,,,,0
235422,0.6,Vaidhegi Kaathirundhaal,1,1,en,0,0.0,"To earn money, Poornima agrees to act as Amuthanayaki's daughter Vaidhegi, who's been missing. Little did she know about what she is getting into.",False,,2021-12-20,2021-12-20,,True,Vaidhegi Kaathirundhaal,,Scripted,Returning Series,,,,,,US,,,,0
235423,0.6,Vanambadi,1,1,en,0,0.0,"Anumol's passion for music knows no bounds and she finally meets her estranged father, the renowned singer Mohan Kumar. Will Mohan ever realise the truth?",False,,2017-01-30,2017-01-30,,True,Vanambadi,,Scripted,Returning Series,,,,,,US,,,,0
235424,1.826,Vantalakka,1,1,en,0,0.0,"After Murali's untimely death, Varalakshmi restarts her life and finds herself at odds with Vishnu, her imperious boss. Can this hate ever turn into love?",False,,2023-09-20,2023-09-20,,True,Vantalakka,,Scripted,Returning Series,,,,,,US,,,,0
235425,0.6,V Day Trippin with the Stars,1,1,en,0,0.0,"Watch a day in the life of your favourite Channel V stars as they share their experiences, and talk about what keeps them going, on V Day Trippin.",False,,2014-07-13,2014-07-13,,True,V Day Trippin with the Stars,,Scripted,Returning Series,,,,,,US,,,,0
235426,0.6,Veendum Chila Veettu Visheshangal,1,1,en,0,0.0,Get ready to laugh your lungs out! Your favourite comedians are here to share the best and worst of lock down - from failed experiments to hilarious stories to family moments and a lot more.,False,,2020-04-06,2020-04-06,,True,Veendum Chila Veettu Visheshangal,,Scripted,Returning Series,,,,,,US,,,,0
235427,0.6,Velammal,1,1,en,0,0.0,"A courageous warrior, a hero and the first queen to fight the East India Company. Above all, Velu Nachiyar was also a daughter who craved her father's approval.",False,,2021-04-12,2021-04-12,,True,Velammal,,Scripted,Returning Series,,,,,,US,,,,0
235428,0.6,We're Pregnant,1,1,en,0,0.0,Raghav and Priya are on the verge of separation when she finds out that she is expecting. Will this good news bring good vibes to their relationship?,False,,2022-01-05,2022-01-05,,True,We're Pregnant,,Scripted,Returning Series,,,,,,US,,,,0
235429,0.6,Wrong Way,1,1,en,0,0.0,"Shiva sets out to unwind at the picturesque Lonavala accompanied by his four friends. But their road trip turns deadly, with perils lurking at every corner.",False,,2023-01-08,2023-01-08,,True,Wrong Way,,Scripted,Returning Series,,,,,,US,,,,0
